problema,dimension,Indicador,w_0,Indicador_diversidad,victoria
WFG7,3,s-energy,0.2,IGD+,True
WFG7,3,s-energy,0.3,IGD+,True
WFG7,3,s-energy,0.4,IGD+,True
WFG7,3,s-energy,0.5,IGD+,True
WFG7,3,s-energy,0.6000000000000001,IGD+,True
WFG7,3,s-energy,0.7000000000000001,IGD+,True
WFG7,3,s-energy,0.8,IGD+,True
WFG7,3,s-energy,0.9,IGD+,True
WFG7,3,s-energy,0.999,IGD+,True
WFG7,4,s-energy,0.001,IGD+,True
WFG7,4,s-energy,0.1,IGD+,True
WFG7,4,s-energy,0.2,IGD+,True
WFG7,4,s-energy,0.3,IGD+,True
WFG7,4,s-energy,0.4,IGD+,True
WFG7,4,s-energy,0.5,IGD+,True
WFG7,4,s-energy,0.6000000000000001,IGD+,True
WFG7,4,s-energy,0.7000000000000001,IGD+,True
WFG7,4,s-energy,0.8,IGD+,True
WFG7,4,s-energy,0.9,IGD+,True
WFG7,4,s-energy,0.999,IGD+,True
WFG7,5,s-energy,0.001,IGD+,True
WFG7,5,s-energy,0.1,IGD+,True
WFG7,5,s-energy,0.2,IGD+,True
WFG7,5,s-energy,0.3,IGD+,True
WFG7,5,s-energy,0.4,IGD+,True
WFG7,5,s-energy,0.5,IGD+,True
WFG7,5,s-energy,0.6000000000000001,IGD+,True
WFG7,5,s-energy,0.7000000000000001,IGD+,True
WFG7,5,s-energy,0.8,IGD+,True
WFG7,5,s-energy,0.9,IGD+,True
WFG7,5,s-energy,0.999,IGD+,True
WFG7,6,s-energy,0.001,IGD+,True
WFG7,6,s-energy,0.1,IGD+,True
WFG7,6,s-energy,0.2,IGD+,True
WFG7,6,s-energy,0.3,IGD+,True
WFG7,6,s-energy,0.4,IGD+,True
WFG7,6,s-energy,0.5,IGD+,True
WFG7,6,s-energy,0.6000000000000001,IGD+,True
WFG7,6,s-energy,0.7000000000000001,IGD+,True
WFG7,6,s-energy,0.8,IGD+,True
WFG7,6,s-energy,0.9,IGD+,True
WFG7,6,s-energy,0.999,IGD+,True
WFG7,7,s-energy,0.001,IGD+,True
WFG7,7,s-energy,0.1,IGD+,True
WFG7,7,s-energy,0.2,IGD+,True
WFG7,7,s-energy,0.3,IGD+,True
WFG7,7,s-energy,0.4,IGD+,True
WFG7,7,s-energy,0.5,IGD+,True
WFG7,7,s-energy,0.6000000000000001,IGD+,True
WFG7,7,s-energy,0.7000000000000001,IGD+,True
WFG7,7,s-energy,0.8,IGD+,True
WFG7,7,s-energy,0.9,IGD+,True
WFG7,7,s-energy,0.999,IGD+,True
WFG7,2,spd,0.001,IGD+,True
WFG7,2,spd,0.1,IGD+,True
WFG7,2,spd,0.2,IGD+,True
WFG7,2,spd,0.3,IGD+,True
WFG7,2,spd,0.4,IGD+,True
WFG7,2,spd,0.5,IGD+,True
WFG7,2,spd,0.6000000000000001,IGD+,True
WFG7,2,spd,0.7000000000000001,IGD+,True
WFG7,2,spd,0.8,IGD+,True
WFG7,2,spd,0.9,IGD+,True
WFG7,2,spd,0.999,IGD+,True
WFG7,3,spd,0.001,IGD+,True
WFG7,3,spd,0.1,IGD+,True
WFG7,3,spd,0.2,IGD+,True
WFG7,3,spd,0.3,IGD+,True
WFG7,3,spd,0.4,IGD+,True
WFG7,3,spd,0.5,IGD+,True
WFG7,3,spd,0.6000000000000001,IGD+,True
WFG7,3,spd,0.7000000000000001,IGD+,True
WFG7,3,spd,0.8,IGD+,True
WFG7,3,spd,0.9,IGD+,True
WFG7,3,spd,0.999,IGD+,True
WFG7,4,spd,0.001,IGD+,True
WFG7,4,spd,0.1,IGD+,True
WFG7,4,spd,0.2,IGD+,True
WFG7,4,spd,0.3,IGD+,True
WFG7,4,spd,0.4,IGD+,True
WFG7,4,spd,0.5,IGD+,True
WFG7,4,spd,0.6000000000000001,IGD+,True
WFG7,4,spd,0.7000000000000001,IGD+,True
WFG7,4,spd,0.8,IGD+,True
WFG7,4,spd,0.9,IGD+,True
WFG7,4,spd,0.999,IGD+,True
WFG7,5,spd,0.001,IGD+,True
WFG7,5,spd,0.1,IGD+,True
WFG7,5,spd,0.2,IGD+,True
WFG7,5,spd,0.3,IGD+,True
WFG7,5,spd,0.4,IGD+,True
WFG7,5,spd,0.5,IGD+,True
WFG7,5,spd,0.6000000000000001,IGD+,True
WFG7,5,spd,0.7000000000000001,IGD+,True
WFG7,5,spd,0.8,IGD+,True
WFG7,5,spd,0.9,IGD+,True
WFG7,5,spd,0.999,IGD+,True
WFG7,6,spd,0.001,IGD+,True
WFG7,6,spd,0.1,IGD+,True
WFG7,6,spd,0.2,IGD+,True
WFG7,6,spd,0.3,IGD+,True
WFG7,6,spd,0.4,IGD+,True
WFG7,6,spd,0.5,IGD+,True
WFG7,6,spd,0.6000000000000001,IGD+,True
WFG7,6,spd,0.7000000000000001,IGD+,True
WFG7,6,spd,0.8,IGD+,True
WFG7,6,spd,0.9,IGD+,True
WFG7,6,spd,0.999,IGD+,True
WFG7,7,spd,0.001,IGD+,True
WFG7,7,spd,0.1,IGD+,True
WFG7,7,spd,0.2,IGD+,True
WFG7,7,spd,0.3,IGD+,True
WFG7,7,spd,0.4,IGD+,True
WFG7,7,spd,0.5,IGD+,True
WFG7,7,spd,0.6000000000000001,IGD+,True
WFG7,7,spd,0.7000000000000001,IGD+,True
WFG7,7,spd,0.8,IGD+,True
WFG7,7,spd,0.9,IGD+,True
WFG7,7,spd,0.999,IGD+,True
WFG8,2,eps+,0.001,IGD+,False
WFG8,2,eps+,0.1,IGD+,False
WFG8,2,eps+,0.2,IGD+,False
WFG8,2,eps+,0.3,IGD+,False
WFG8,2,eps+,0.4,IGD+,False
WFG8,2,eps+,0.5,IGD+,False
WFG8,2,eps+,0.6000000000000001,IGD+,False
WFG8,2,eps+,0.7000000000000001,IGD+,False
WFG8,2,eps+,0.8,IGD+,False
WFG8,2,eps+,0.9,IGD+,False
WFG8,2,eps+,0.999,IGD+,False
WFG8,3,eps+,0.001,IGD+,False
WFG8,3,eps+,0.1,IGD+,False
WFG8,3,eps+,0.2,IGD+,False
WFG8,3,eps+,0.3,IGD+,False
WFG8,3,eps+,0.4,IGD+,False
WFG8,3,eps+,0.5,IGD+,True
WFG8,3,eps+,0.6000000000000001,IGD+,False
WFG8,3,eps+,0.7000000000000001,IGD+,True
WFG8,3,eps+,0.8,IGD+,False
WFG8,3,eps+,0.9,IGD+,True
WFG8,3,eps+,0.999,IGD+,True
WFG8,4,eps+,0.001,IGD+,False
WFG8,4,eps+,0.1,IGD+,False
WFG8,4,eps+,0.2,IGD+,False
WFG8,4,eps+,0.3,IGD+,False
WFG8,4,eps+,0.4,IGD+,False
WFG8,4,eps+,0.5,IGD+,True
WFG8,4,eps+,0.6000000000000001,IGD+,False
WFG8,4,eps+,0.7000000000000001,IGD+,True
WFG8,4,eps+,0.8,IGD+,True
WFG8,4,eps+,0.9,IGD+,True
WFG8,4,eps+,0.999,IGD+,False
WFG8,5,eps+,0.001,IGD+,True
WFG8,5,eps+,0.1,IGD+,True
WFG8,5,eps+,0.2,IGD+,True
WFG8,5,eps+,0.3,IGD+,True
WFG8,5,eps+,0.4,IGD+,True
WFG8,5,eps+,0.5,IGD+,True
WFG8,5,eps+,0.6000000000000001,IGD+,True
WFG8,5,eps+,0.7000000000000001,IGD+,True
WFG8,5,eps+,0.8,IGD+,True
WFG8,5,eps+,0.9,IGD+,True
WFG8,5,eps+,0.999,IGD+,True
WFG8,6,eps+,0.001,IGD+,True
WFG8,6,eps+,0.1,IGD+,True
WFG8,6,eps+,0.2,IGD+,True
WFG8,6,eps+,0.3,IGD+,True
WFG8,6,eps+,0.4,IGD+,True
WFG8,6,eps+,0.5,IGD+,True
WFG8,6,eps+,0.6000000000000001,IGD+,True
WFG8,6,eps+,0.7000000000000001,IGD+,True
WFG8,6,eps+,0.8,IGD+,True
WFG8,6,eps+,0.9,IGD+,True
WFG8,6,eps+,0.999,IGD+,True
WFG8,7,eps+,0.001,IGD+,False
WFG8,7,eps+,0.1,IGD+,False
WFG8,7,eps+,0.2,IGD+,True
WFG8,7,eps+,0.3,IGD+,True
WFG8,7,eps+,0.4,IGD+,True
WFG8,7,eps+,0.5,IGD+,True
WFG8,7,eps+,0.6000000000000001,IGD+,True
WFG8,7,eps+,0.7000000000000001,IGD+,True
WFG8,7,eps+,0.8,IGD+,True
WFG8,7,eps+,0.9,IGD+,True
WFG8,7,eps+,0.999,IGD+,True
WFG8,2,hv,0.001,IGD+,False
WFG8,2,hv,0.1,IGD+,False
WFG8,2,hv,0.2,IGD+,False
WFG8,2,hv,0.3,IGD+,False
WFG8,2,hv,0.4,IGD+,False
WFG8,2,hv,0.5,IGD+,False
WFG8,2,hv,0.6000000000000001,IGD+,False
WFG8,2,hv,0.7000000000000001,IGD+,False
WFG8,2,hv,0.8,IGD+,False
WFG8,2,hv,0.9,IGD+,False
WFG8,2,hv,0.999,IGD+,False
WFG8,3,hv,0.001,IGD+,False
WFG8,3,hv,0.1,IGD+,False
WFG8,3,hv,0.2,IGD+,False
WFG8,3,hv,0.3,IGD+,False
WFG8,3,hv,0.4,IGD+,False
WFG8,3,hv,0.5,IGD+,True
WFG8,3,hv,0.6000000000000001,IGD+,True
WFG8,3,hv,0.7000000000000001,IGD+,True
WFG8,3,hv,0.8,IGD+,True
WFG8,3,hv,0.9,IGD+,True
WFG8,3,hv,0.999,IGD+,True
WFG8,4,hv,0.001,IGD+,False
WFG8,4,hv,0.1,IGD+,False
WFG8,4,hv,0.2,IGD+,False
WFG8,4,hv,0.3,IGD+,False
WFG8,4,hv,0.4,IGD+,False
WFG8,4,hv,0.5,IGD+,False
WFG8,4,hv,0.6000000000000001,IGD+,False
WFG8,4,hv,0.7000000000000001,IGD+,False
WFG8,4,hv,0.8,IGD+,False
WFG8,4,hv,0.9,IGD+,True
WFG8,4,hv,0.999,IGD+,True
WFG8,5,hv,0.001,IGD+,False
WFG8,5,hv,0.1,IGD+,False
WFG8,5,hv,0.2,IGD+,True
WFG8,5,hv,0.3,IGD+,True
WFG8,5,hv,0.4,IGD+,True
WFG8,5,hv,0.5,IGD+,True
WFG8,5,hv,0.6000000000000001,IGD+,True
WFG8,5,hv,0.7000000000000001,IGD+,True
WFG8,5,hv,0.8,IGD+,True
WFG8,5,hv,0.9,IGD+,True
WFG8,5,hv,0.999,IGD+,True
WFG8,6,hv,0.001,IGD+,False
WFG8,6,hv,0.1,IGD+,False
WFG8,6,hv,0.2,IGD+,False
WFG8,6,hv,0.3,IGD+,False
WFG8,6,hv,0.4,IGD+,False
WFG8,6,hv,0.5,IGD+,True
WFG8,6,hv,0.6000000000000001,IGD+,True
WFG8,6,hv,0.7000000000000001,IGD+,True
WFG8,6,hv,0.8,IGD+,True
WFG8,6,hv,0.9,IGD+,True
WFG8,6,hv,0.999,IGD+,True
WFG8,7,hv,0.001,IGD+,False
WFG8,7,hv,0.1,IGD+,False
WFG8,7,hv,0.2,IGD+,False
WFG8,7,hv,0.3,IGD+,False
WFG8,7,hv,0.4,IGD+,False
WFG8,7,hv,0.5,IGD+,False
WFG8,7,hv,0.6000000000000001,IGD+,False
WFG8,7,hv,0.7000000000000001,IGD+,True
WFG8,7,hv,0.8,IGD+,False
WFG8,7,hv,0.9,IGD+,False
WFG8,7,hv,0.999,IGD+,True
